,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
18697,450,2018,Octubre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,402.0,,,,,,,,,,197436.0,,,,,,,,,,402.0,,,,,,,,,,197436.0,,,,,,,,,,491.13432835820896,
20262,2015,2018,Octubre,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,34623.0,36348.0,,,,,,,,,13116749.0,15748895.0,,,,,,,,,11541.0,18174.0,,,,,,,,,4372249.666666667,7874447.5,,,,,,,,,378.84495855356266,433.2809232970177,,
21437,910,2016,Octubre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,1.0,1.0,,,,,,,,,2687.0,18494.0,,,,,,,,,1280909.0,8807907.0,,,,,,,,,2687.0,18494.0,,,,,,,,,1280909.0,8807907.0,,,,,,,,,476.7059918124302,476.2575429869147,,
22041,378,2004,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,470.0,,,,,,,,,,284467.0,,,,,,,,,,470.0,,,,,,,,,,284467.0,,,,,,,,,,605.2489361702128,,,
22790,1127,2004,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,158.0,3237.0,261.0,1.0,,,15.0,207.0,23.0,9.0,21139.0,417030.74,40524.16,18.0,,,109382.0,78051.75,20882.0,109667.4,6343190.0,124947915.0,12160085.0,5401.0,,,25194922.0,22958057.0,5607118.0,26189585.0,133.79113924050634,128.83248069199877,155.26498084291188,18.0,,,7292.133333333333,377.06159420289856,907.9130434782609,12185.266666666666,40146.77215189873,38599.91195551436,46590.36398467433,5401.0,,,1679661.4666666666,110908.48792270532,243787.73913043478,2909953.888888889,300.0704858318747,299.61320117552964,300.07000762014565,300.05555555555554,,,230.33883088625183,294.13891424599706,268.5144143281295,238.8092085706418
23497,331,2013,Enero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,20391.0,,,,,,,,,,5147762.0,,,,,,,,,,20391.0,,,,,,,,,,5147762.0,,,,,,,,,,252.45265067922122,,,
24220,1054,2013,Enero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,250.0,4298.0,172.0,,,,15.0,244.0,12.0,7.0,32843.0,567709.0,30943.0,,,,227868.0,99570.0,20115.0,119903.0,13876289.48,239425250.04,13138942.2,,,,60356792.44,40700854.62,7182838.44,35981101.36,131.372,132.08678455095392,179.90116279069767,,,,15191.2,408.07377049180326,1676.25,17129.0,55505.157920000005,55706.200567705906,76389.1988372093,,,,4023786.1626666663,166806.7812295082,598569.87,5140157.337142857,422.5037140334318,421.73939472511444,424.6175936399186,,,,264.8761231941299,408.7662410364568,357.0886621923937,300.08508010641935
25014,1848,2013,Enero,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,12521.0,,,,,,,,,,4240606.0,,,,,,,,,,12521.0,,,,,,,,,,4240606.0,,,,,,,,,,338.6794984426164,,
25695,339,2013,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
26431,1075,2013,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,253.0,4346.0,167.0,,,,15.0,246.0,15.0,7.0,29325.0,501251.0,29709.0,,,,249786.0,95312.0,25498.0,87285.0,12771542.18,220952441.46,13164354.99,,,,67453562.3,41206933.83,9696094.86,26401296.32,115.9090909090909,115.3361711919006,177.89820359281438,,,,16652.4,387.4471544715447,1699.8666666666666,12469.285714285714,50480.40387351778,50840.41450989416,78828.47299401197,,,,4496904.153333333,167507.86109756096,646406.3239999999,3771613.7600000002,435.51720988917305,440.80199632519435,443.10999999999996,,,,270.0454080693073,432.337311461306,380.26883912463717,302.4723184968781
