,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
301434,1076,2005,Marzo,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,284.0,2395.0,1.0,,,,60.0,38.0,15.0,4.0,57413.04,613678.99,640.0,,,,1272151.8,32949.0,5774.0,244.8,17282342.0,183687723.0,171399.0,,,,213401547.26,9500298.0,1760246.0,74894.0,202.15859154929578,256.23339874739037,640.0,,,,21202.530000000002,867.078947368421,384.93333333333334,61.2,60853.31690140845,76696.33528183716,171399.0,,,,3556692.4543333333,250007.84210526315,117349.73333333334,18723.5,301.01771304916093,299.3221635304804,267.8109375,,,,167.74849295500738,288.3334243831376,304.85729130585383,305.9395424836601
302161,412,2007,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,15208.0,,,,,,,,,,3334900.0,,,,,,,,,,15208.0,,,,,,,,,,3334900.0,,,,,,,,,,219.2859021567596,,,
302819,1070,2007,Agosto,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,176.0,3598.0,214.0,,,,19.0,217.0,17.0,11.0,21484.0,439095.0,33716.0,,,,145662.0,89642.0,22406.0,91787.0,6525335.32,133334935.09,10240560.68,,,,32588903.81,26920244.05,6405386.12,21900017.32,122.06818181818181,122.03863257365202,157.55140186915887,,,,7666.421052631579,413.0967741935484,1318.0,8344.272727272728,37075.76886363637,37058.06978599222,47853.087289719624,,,,1715205.4636842106,124056.42419354839,376787.41882352944,1990910.6654545455,303.73,303.6585137384849,303.73,,,,223.72961932418886,300.3083827893175,285.8781629920557,238.5960682885376
304568,807,2006,Febrero,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,18.0,251.0,14.0,2.0,1.0,,7.0,,,,2863.0,44601.0,5846.0,386.0,6204.0,,560955.87,,,,815790.78,12889097.65,1658723.33,113572.78,1595979.0,,86321284.05,,,,159.05555555555554,177.69322709163347,417.57142857142856,193.0,6204.0,,80136.55285714286,,,,45321.71,51350.986653386455,118480.23785714286,56786.39,1595979.0,,12331612.007142857,,,,284.9426405867971,288.9867413286698,283.73645740677387,294.23,257.25,,153.88248642446686,,,
304712,951,2006,Febrero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,3.0,,,,,,,,,,24065.0,,,,,,,,,,5177073.0,,,,,,,,,,8021.666666666667,,,,,,,,,,1725691.0,,,,,,,,,,215.12873467691668,,,
305524,797,2018,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,8.0,20.0,6.0,,,,43.0,9.0,1.0,49.0,1374.0,4490.0,3910.0,,,,403072.0,37330.0,1200.0,110929.0,757453.7,2238158.45,2078849.79,,,,175781425.84,19643859.4,599808.0,54404618.78,171.75,224.5,651.6666666666666,,,,9373.767441860466,4147.777777777777,1200.0,2263.8571428571427,94681.7125,111907.92250000002,346474.965,,,,4087940.1358139534,2182651.044444444,599808.0,1110298.3424489796,551.27634643377,498.47626948775064,531.675138107417,,,,436.10428370117495,526.2217894454861,499.84,490.4454090454255
305765,1038,2018,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,378.0,,,,,,,,,,210003.0,,,,,,,,,,378.0,,,,,,,,,,210003.0,,,,,,,,,,555.563492063492,,,
306202,322,2012,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,439.0,,,,,,,,,,132510.0,,,,,,,,,,439.0,,,,,,,,,,132510.0,,,,,,,,,,301.84510250569474,,,
306919,1039,2012,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,219.0,4167.0,177.0,,1.0,,12.0,236.0,16.0,5.0,28516.0,476428.0,25241.0,,5097.0,,178462.0,94931.0,25827.0,134041.0,11123067.63,191737867.08,9858591.08,,1773246.3,,51588754.89,36405967.48,9438972.54,43347459.24,130.21004566210047,114.33357331413487,142.6045197740113,,5097.0,,14871.833333333334,402.25,1614.1875,26808.2,50790.263150684936,46013.40702663787,55698.25468926554,,1773246.3,,4299062.9075,154262.5740677966,589935.78375,8669491.848000001,390.06409138729134,402.4487794168269,390.5784667802385,,347.90000000000003,,289.074172036624,383.49925187767957,365.4691810895574,323.38955424086663
307980,318,2010,Julio,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,564.0,,,,,,,,,,169330.0,,,,,,,,,,564.0,,,,,,,,,,169330.0,,,,,,,,,,300.2304964539007,,,
308739,1077,2010,Julio,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,203.0,3867.0,184.0,,,,19.0,234.0,15.0,1.0,25233.0,486156.0,27205.0,,,,169320.0,96857.0,22199.0,104138.0,9726305.84,187248611.89,10482247.27,,,,49759982.15,36954751.34,7992434.55,31891194.72,124.30049261083744,125.71916214119473,147.85326086956522,,,,8911.578947368422,413.9188034188034,1479.9333333333334,104138.0,47912.8366502463,48422.19081717093,56968.73516304348,,,,2618946.428947368,157926.2877777778,532828.97,31891194.72,385.4597487417271,385.16157753889695,385.3059095754457,,,,293.8813025631939,381.53929339128825,360.0357921527996,306.2397464902341
311219,1854,2016,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,17134.0,38879.0,,,,,,,,,5227170.0,13989640.0,,,,,,,,,5711.333333333333,19439.5,,,,,,,,,1742390.0,6994820.0,,,,,,,,,305.07587253414266,359.82509838216004,,
312161,740,2006,Agosto,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,,,,,,,7.0,1.0,,,,,,,,,1650850.15,88589.28,,,,,,,,,254876013.5,21377008.34,,,,,,,,,235835.7357142857,88589.28,,,,,,,,,36410859.071428575,21377008.34,,,,,,,,,154.3907625413488,241.30468539760116,,
312364,943,2006,Agosto,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,,,,,,,,,,71681.0,,,,,,,,,,14246571.0,,,,,,,,,,14336.2,,,,,,,,,,2849314.2,,,,,,,,,,198.74961286812405,,,
313791,838,2010,Mayo,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,581.0,2357.0,31.0,8.0,7.0,12.0,47.0,52.0,12.0,,122123.0,609274.0,16459.0,9902.0,3750.0,10778.0,324330.0,54237.0,5648.0,,46807529.78,231438119.04,6088599.99,3474860.59,1385710.03,3939010.82,84145105.49,20276711.14,2169961.6,,210.1944922547332,258.49554518455665,530.9354838709677,1237.75,535.7142857142857,898.1666666666666,6900.63829787234,1043.0192307692307,470.6666666666667,,80563.73456110155,98191.8197030123,196406.45129032258,434357.57375,197958.57571428572,328250.9016666667,1790321.3934042552,389936.7526923077,180830.13333333333,,383.2818533773327,379.8588468242531,369.92526824229907,350.92512522722683,369.5226746666667,365.4676953052515,259.44286834397064,373.85384774231613,384.2,
314020,1067,2010,Mayo,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,49746.0,11838.0,,,,,,,,,14013965.0,3989742.0,,,,,,,,,9949.2,11838.0,,,,,,,,,2802793.0,3989742.0,,,,,,,,,281.7103887749769,337.02838317283323,,
314058,1105,2010,Mayo,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,520.0,,,,,,,,,,151212.0,,,,,,,,,,520.0,,,,,,,,,,151212.0,,,,,,,,,,290.7923076923077,,,
314790,728,2012,Octubre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,33.0,93.0,7.0,,,1.0,17.0,10.0,1.0,36.0,6844.0,14640.0,5248.0,,,537.0,338515.0,40932.0,680.0,340433.0,2643660.11,5613086.6,1977745.93,,,209897.19,83869136.53,15707606.06,244371.6,117306009.08,207.3939393939394,157.41935483870967,749.7142857142857,,,537.0,19912.647058823528,4093.2,680.0,9456.472222222223,80110.91242424241,60355.769892473116,282535.13285714283,,,209897.19,4933478.619411765,1570760.6060000001,244371.6,3258500.2522222223,386.2741247808299,383.4075546448088,376.85707507621953,,,390.87,247.75604191837883,383.7488043584482,359.37,344.5788424741432
315064,1002,2012,Octubre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,52598.0,18978.0,,,,,,,,,16648750.0,6290951.0,,,,,,,,,10519.6,18978.0,,,,,,,,,3329750.0,6290951.0,,,,,,,,,316.5281949884026,331.48651069659604,,
315122,1060,2012,Octubre,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,5870.0,,,,,,,,,,2168882.0,,,,,,,,,,5870.0,,,,,,,,,,2168882.0,,,,,,,,,,369.48586030664393,,,
316256,1007,2007,Julio,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,34629.0,15477.0,,,,,,,,,6881807.0,3643253.0,,,,,,,,,6925.8,15477.0,,,,,,,,,1376361.4,3643253.0,,,,,,,,,198.7295908053943,235.39788072623892,,
317161,750,2013,Octubre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,43.0,106.0,7.0,,,1.0,21.0,13.0,1.0,42.0,6830.0,17043.0,5641.0,,,597.0,234332.0,33116.0,720.0,462625.0,2833999.92,6887234.4,2171102.17,,,229462.92,57394435.96,11695802.99,245685.6,154926251.1,158.8372093023256,160.78301886792454,805.8571428571429,,,597.0,11158.666666666666,2547.3846153846152,720.0,11014.880952380952,65906.97488372093,64973.90943396227,310157.45285714284,,,229462.92,2733068.379047619,899677.1530769231,245685.6,3688720.2642857144,414.93410248901904,404.10927653582115,384.8789523134196,,,384.36,244.92786286123965,353.176802451987,341.23,334.8851685490408
317440,1029,2013,Octubre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,61888.0,19541.0,,,,,,,,,19768735.0,6560283.0,,,,,,,,,12377.6,19541.0,,,,,,,,,3953747.0,6560283.0,,,,,,,,,319.42759501034124,335.7188987257561,,
317963,450,2018,Noviembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,354.0,,,,,,,,,,179234.0,,,,,,,,,,354.0,,,,,,,,,,179234.0,,,,,,,,,,506.31073446327684,
318670,1157,2018,Noviembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,505.0,5117.0,127.0,,,,10.0,278.0,22.0,5.0,51306.0,558013.0,17672.0,,,,96137.0,119801.0,30930.0,52754.0,28284255.2,308081556.09,9690274.8,,,,43979125.3,65038181.47,15600897.06,25880058.44,101.59603960396039,109.05081102208325,139.1496062992126,,,,9613.7,430.93884892086334,1405.909090909091,10550.8,56008.42613861386,60207.45673050615,76301.37637795277,,,,4397912.529999999,233950.29305755396,709131.6845454546,5176011.688,551.2855260593303,552.1046213797886,548.3405839746492,,,,457.46305064647316,542.8851300907338,504.3936973811833,490.5800212306176
319553,2040,2018,Noviembre,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,18401.0,37245.0,,,,,,,,,6941611.0,16236093.0,,,,,,,,,6133.666666666667,18622.5,,,,,,,,,2313870.3333333335,8118046.5,,,,,,,,,377.2409651649367,435.92678211840513,,
320778,866,2009,Enero,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,470.0,2362.0,29.0,8.0,7.0,13.0,46.0,54.0,12.0,,98182.0,637314.0,15006.0,8920.0,4056.0,9267.0,141191.0,67777.0,5829.0,,35022585.38,224578991.24,5123630.19,2854304.2,1390209.93,3102598.26,29463755.72,23457955.23,2034765.28,,208.89787234042552,269.81964436917866,517.448275862069,1115.0,579.4285714285714,712.8461538461538,3069.3695652173915,1255.1296296296296,485.75,,74516.13910638298,95080.0132260796,176676.90310344828,356788.025,198601.41857142857,238661.40461538458,640516.4286956522,434406.57833333337,169563.77333333335,,356.71085718359785,352.38358366519486,341.43877049180327,319.9892600896861,342.7539275147929,334.8007186791842,208.68012635366276,346.104950499432,349.0762189054727,
321008,1096,2009,Enero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,57356.0,16901.0,,,,,,,,,13500481.0,4817134.0,,,,,,,,,11471.2,16901.0,,,,,,,,,2700096.2,4817134.0,,,,,,,,,235.38044842736593,285.02064966570026,,
321041,1129,2009,Enero,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,539.0,,,,,,,,,,141266.0,,,,,,,,,,539.0,,,,,,,,,,141266.0,,,,,,,,,,262.08905380333954,,,
321669,380,2004,Abril,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,15066.0,,,,,,,,,,2911394.0,,,,,,,,,,15066.0,,,,,,,,,,2911394.0,,,,,,,,,,193.24266560467277,,,
322414,1125,2004,Abril,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,155.0,3166.0,281.0,,,,16.0,201.0,22.0,7.0,21529.0,412068.0,45543.0,,,,112813.0,70494.0,20934.0,103733.0,5957719.0,114018159.0,12603089.0,,,,24308794.0,19491881.0,5454088.0,22284642.0,138.8967741935484,130.15413771320277,162.0747330960854,,,,7050.8125,350.7164179104478,951.5454545454545,14819.0,38436.89677419355,36013.316171825645,44850.85053380783,,,,1519299.625,96974.53233830846,247913.0909090909,3183520.285714286,276.72994565469827,276.69743586010077,276.7294425048855,,,,215.47865937436288,276.5041138252901,260.5373077290532,214.82693067779783
322987,335,2003,Julio,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,1.0,,,,,,,,,,6563.0,,,,,,,,,,1168690.0,,,,,,,,,,6563.0,,,,,,,,,,1168690.0,,,,,,,,,,178.07252780740515,,,
323526,874,2003,Julio,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,163.0,2394.0,2.0,,,,60.0,33.0,17.0,4.0,35227.0,604994.0,520.0,,,,478558.0,29967.0,6123.0,1980.0,8365714.0,143658231.0,122668.0,,,,75404895.0,7114725.0,1480881.0,469320.0,216.11656441717793,252.7126148705096,260.0,,,,7975.966666666666,908.0909090909091,360.1764705882353,495.0,51323.398773006134,60007.61528822055,61334.0,,,,1256748.25,215597.72727272726,87110.64705882352,117330.0,237.48017145939193,237.45397640307175,235.9,,,,157.56688844403396,237.41866052657923,241.85546300832922,237.03030303030303
324009,354,2015,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,10439.0,,,,,,,,,,3156915.0,,,,,,,,,,10439.0,,,,,,,,,,3156915.0,,,,,,,,,,302.4154612510777,,,
324810,1155,2015,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,446.0,4545.0,144.0,,1.0,,9.0,252.0,14.0,2.0,43060.0,472625.0,25569.0,,5367.0,,103860.0,117612.0,23031.0,77495.0,17332929.91,190364162.81,10149639.46,,1929651.18,,31967133.45,35112752.36,8465250.09,22513854.55,96.54708520179372,103.98789878987898,177.5625,,5367.0,,11540.0,466.7142857142857,1645.0714285714287,38747.5,38863.0715470852,41884.30424862486,70483.60736111112,,1929651.18,,3551903.716666667,139336.3188888889,604660.7207142857,11256927.275,402.52972387366464,402.7805613541391,396.95097422660257,,359.53999999999996,,307.7906166955517,298.54736217392787,367.55894620294384,290.520092264017
325594,1939,2015,Febrero,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,13079.0,,,,,,,,,,5097189.0,,,,,,,,,,13079.0,,,,,,,,,,5097189.0,,,,,,,,,,389.7231439712516,,
326013,311,2010,Noviembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,676.0,,,,,,,,,,178601.0,,,,,,,,,,676.0,,,,,,,,,,178601.0,,,,,,,,,,264.2026627218935,,,
326795,1093,2010,Noviembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,203.0,3896.0,185.0,,,,12.0,236.0,16.0,6.0,25445.0,489942.0,26924.0,,,,159144.0,104343.0,23293.0,183918.0,9446234.45,181782857.52,9992573.36,,,,40560572.05,38051130.94,8034860.68,99722899.06,125.34482758620689,125.75513347022587,145.53513513513514,,,,13262.0,442.1313559322034,1455.8125,30653.0,46533.17463054187,46658.84433264887,54013.91005405405,,,,3380047.670833333,161233.6056779661,502178.7925,16620483.176666668,371.24128315975634,371.02934126896656,371.14,,,,254.86711437440303,364.67353765945006,344.9474382861804,542.2139163105297
328356,737,2013,Febrero,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,32.0,102.0,7.0,,,1.0,17.0,9.0,1.0,36.0,6632.0,15288.0,4299.0,,,574.0,189255.0,19974.0,640.0,326411.0,2776836.99,6272738.3,1718852.55,,,243031.6,48269681.55,7679263.09,216588.8,109144743.63,207.25,149.88235294117646,614.1428571428571,,,574.0,11132.64705882353,2219.3333333333335,640.0,9066.972222222223,86776.1559375,61497.43431372549,245550.36428571428,,,243031.6,2839393.032352941,853251.4544444444,216588.8,3031798.4341666666,418.70280307599523,410.3047030350602,399.8261339846476,,,423.40000000000003,255.05102401521756,384.46295634324616,338.41999999999996,334.3782643048181
328629,1010,2013,Febrero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,54765.0,17719.0,,,,,,,,,16708033.0,5600129.0,,,,,,,,,10953.0,17719.0,,,,,,,,,3341606.6,5600129.0,,,,,,,,,305.0859673148909,316.0522038489757,,
328693,1074,2013,Febrero,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,2601.0,,,,,,,,,,978085.0,,,,,,,,,,2601.0,,,,,,,,,,978085.0,,,,,,,,,,376.041906958862,,,
329574,876,2008,Abril,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,31.0,96.0,9.0,,1.0,2.0,45.0,8.0,1.0,,6477.0,28005.0,5942.0,,5919.0,639.0,286861.0,10275.0,1200.0,,2069654.2,8803648.46,1867644.98,,1687684.47,207381.06,59770570.51,3310952.13,342156.0,,208.93548387096774,291.71875,660.2222222222222,,5919.0,319.5,6374.688888888889,1284.375,1200.0,,66763.03870967742,91704.67145833334,207516.10888888888,,1687684.47,103690.53,1328234.900222222,413869.01625,342156.0,,319.53901497606915,314.3598807355829,314.3125176708179,,285.13,324.54,208.36074095119235,322.23378394160585,285.13,
329784,1086,2008,Abril,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,38405.0,16004.0,,,,,,,,,9048757.0,4219837.0,,,,,,,,,7681.0,16004.0,,,,,,,,,1809751.4,4219837.0,,,,,,,,,235.6140346309074,263.6738940264934,,
329815,1117,2008,Abril,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,3928.0,,,,,,,,,,955389.0,,,,,,,,,,3928.0,,,,,,,,,,955389.0,,,,,,,,,,243.22530549898167,,,
330927,1108,2013,Septiembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,66915.0,18316.0,,,,,,,,,21923357.0,7038180.0,,,,,,,,,13383.0,18316.0,,,,,,,,,4384671.4,7038180.0,,,,,,,,,327.629933497721,384.2640314479144,,
332238,781,2006,Abril,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,,,,,,,7.0,,,,,,,,,,718531.39,,,,,,,,,,113419727.07,,,,,,,,,,102647.34142857142,,,,,,,,,,16202818.152857142,,,,,,,,,,157.8493697679652,,,
332361,904,2006,Abril,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,3.0,,,,,,,,,,16185.0,,,,,,,,,,2658838.0,,,,,,,,,,5395.0,,,,,,,,,,886279.3333333334,,,,,,,,,,164.27791164658635,,,
333344,966,2019,Enero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,5400.0,,,,,,,,,,2658099.0,,,,,,,,,,5400.0,,,,,,,,,,2658099.0,,,,,,,,,,492.24055555555555,,,
334474,1000,2008,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,29.0,118.0,8.0,,1.0,1.0,40.0,12.0,1.0,,5301.0,23626.0,5104.0,,5033.0,444.0,200167.0,20306.0,1240.0,,1825374.08,8183044.66,1740582.42,,1567880.16,156958.44,40889391.99,6581266.13,390240.4,,182.79310344827587,200.22033898305085,638.0,,5033.0,444.0,5004.175,1692.1666666666667,1240.0,,62943.93379310345,69347.83610169492,217572.8025,,1567880.16,156958.44,1022234.79975,548438.8441666666,390240.4,,344.3452329749104,346.35760010158305,341.0232014106583,,311.52,353.51,204.2763891650472,324.1045075347188,314.71000000000004,
334695,1221,2008,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,18019.0,16919.0,,,,,,,,,4844730.0,4802641.0,,,,,,,,,3603.8,16919.0,,,,,,,,,968946.0,4802641.0,,,,,,,,,268.86786170153727,283.8608073763225,,
334728,1254,2008,Diciembre,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,541.0,,,,,,,,,,142436.0,,,,,,,,,,541.0,,,,,,,,,,142436.0,,,,,,,,,,263.2828096118299,,,
335287,291,2005,Febrero,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,2.0,,,,,,,,,,10988.0,,,,,,,,,,2991140.0,,,,,,,,,,5494.0,,,,,,,,,,1495570.0,,,,,,,,,,272.2187841281398,,,
335883,887,2005,Febrero,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,6.0,100.0,1.0,,,,59.0,7.0,1.0,,1443.0,33961.1,720.0,,,,1711763.76,10717.0,520.0,,429378.0,10239602.0,194292.0,,,,279896861.39,2947324.0,152610.0,,240.5,339.611,720.0,,,,29012.945084745763,1531.0,520.0,,71563.0,102396.02,194292.0,,,,4744014.599830508,421046.28571428574,152610.0,,297.55925155925155,301.5097273056527,269.85,,,,163.5137207192656,275.01390314453676,293.4807692307692,
336351,312,2010,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,11304.0,,,,,,,,,,2919657.0,,,,,,,,,,11304.0,,,,,,,,,,2919657.0,,,,,,,,,,258.28529723991505,,,
337140,1101,2010,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,204.0,3880.0,185.0,,,,13.0,235.0,16.0,6.0,26251.0,500517.0,28419.0,,,,186161.0,98685.0,25325.0,143317.0,9939368.19,188867239.81,10708847.58,,,,49283842.45,36845585.47,8892970.42,41373193.47,128.6813725490196,128.9992268041237,153.61621621621623,,,,14320.076923076924,419.93617021276594,1582.8125,23886.166666666668,48722.393088235294,48677.12366237114,57885.66259459459,,,,3791064.803846154,156789.72540425532,555810.65125,6895532.245,378.62817378385586,377.3443056080014,376.81999999999994,,,,264.73774018188556,373.36561250443333,351.1538171767029,288.6830834443925
338052,329,2012,Octubre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,600.0,,,,,,,,,,165263.0,,,,,,,,,,600.0,,,,,,,,,,165263.0,,,,,,,,,,275.43833333333333,,,
